roi_0_contour_0_x;roi_0_contour_0_y;roi_1_contour_0_x;roi_1_contour_0_y;roi_2_contour_0_x;roi_2_contour_0_y;roi_3_contour_0_x;roi_3_contour_0_y;roi_4_contour_0_x;roi_4_contour_0_y;roi_5_contour_0_x;roi_5_contour_0_y;roi_6_contour_0_x;roi_6_contour_0_y;roi_7_contour_0_x;roi_7_contour_0_y;roi_8_contour_0_x;roi_8_contour_0_y;roi_9_contour_0_x;roi_9_contour_0_y;
236.538;47.1913;10.5381;40.8087;162.538;84.1913;236.538;123.191;21.5381;128.191;100.538;149.191;171.538;179.809;26.5381;215.191;108.538;238.191;234.538;240.191;
235.538;46.1913;11.5381;39.8087;161.538;83.1913;236.538;122.191;21.5381;127.191;100.538;148.191;172.538;178.809;26.5381;214.191;107.538;237.191;233.538;239.191;
235.538;45.1913;11.5381;38.8087;161.538;82.1913;235.538;121.191;19.5381;125.191;99.5381;147.191;172.538;177.809;25.5381;213.191;107.538;236.191;233.538;238.191;
234.538;44.1913;13.5381;36.8087;160.538;81.1913;235.538;120.191;19.5381;122.809;99.5381;143.809;174.538;175.809;25.5381;212.191;105.538;234.191;232.538;237.191;
234.538;39.8087;13.5381;35.8087;160.538;78.8087;233.538;118.191;20.5381;121.809;100.538;142.809;174.538;174.809;23.5381;210.191;105.538;231.809;232.538;235.191;
235.538;38.8087;14.5381;34.8087;162.538;76.8087;233.538;115.809;20.5381;120.809;100.538;141.809;175.538;173.809;23.5381;207.809;106.538;230.809;231.500;234.000;
235.538;37.8087;14.5381;33.8087;162.538;75.8087;235.538;113.809;22.5381;118.809;102.538;139.809;175.538;172.809;25.5381;205.809;106.538;229.809;233.538;231.809;
236.538;36.8087;15.5381;32.8087;163.538;74.8087;235.538;112.809;22.5381;117.809;102.538;138.809;176.538;171.809;25.5381;204.809;107.538;228.809;233.538;230.809;
236.538;35.8087;15.5381;31.8087;163.538;73.8087;236.538;111.809;23.5381;116.809;103.538;137.809;176.538;170.809;26.5381;203.809;107.538;227.809;234.538;229.809;
237.538;34.8087;17.5381;29.8087;164.538;72.8087;236.538;110.809;23.5381;115.809;103.538;136.809;178.538;168.809;26.5381;202.809;108.538;226.809;234.538;228.809;
237.538;33.8087;17.5381;28.8087;164.538;71.8087;237.538;109.809;24.5381;114.809;104.538;135.809;178.538;167.809;27.5381;201.809;108.538;225.809;235.538;227.809;
239.538;31.8087;18.5381;27.8087;166.538;69.8087;237.538;108.809;24.5381;113.809;104.538;134.809;179.538;166.809;27.5381;200.809;110.538;223.809;235.538;226.809;
239.538;30.8087;18.5381;26.8087;166.538;68.8087;239.538;106.809;26.5381;111.809;106.538;132.809;179.538;165.809;29.5381;198.809;110.538;222.809;237.538;224.809;
240.538;29.8087;19.5381;25.8087;167.538;67.8087;239.538;105.809;26.5381;110.809;106.538;131.809;180.538;164.809;29.5381;197.809;111.538;221.809;237.538;223.809;
240.538;28.8087;19.5381;24.8087;167.538;66.8087;240.538;104.809;27.5381;109.809;107.538;130.809;180.538;163.809;30.5381;196.809;111.538;220.809;238.538;222.809;
241.538;27.8087;21.5381;22.8087;168.538;65.8087;240.538;103.809;27.5381;108.809;107.538;129.809;182.538;161.809;30.5381;195.809;112.538;219.809;238.538;221.809;
241.538;26.8087;21.5381;21.8087;168.538;64.8087;241.538;102.809;28.5381;107.809;108.538;128.809;182.538;160.809;31.5381;194.809;112.538;218.809;239.538;220.809;
243.538;24.8087;22.5381;20.8087;170.538;62.8087;241.538;101.809;28.5381;106.809;108.538;127.809;183.538;159.809;31.5381;193.809;114.538;216.809;239.538;219.809;
243.538;23.8087;22.5381;19.8087;170.538;61.8087;243.538;99.8087;30.5381;104.809;110.538;125.809;183.538;158.809;33.5381;191.809;114.538;215.809;241.538;217.809;
